glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id,glean_id
2020-03-01,First new bill in 10.17 months from vendor 5ffbef3b-340e-4cb2-b758-e7d0d16b70c8,1,1,78ddc11c-3d54-416d-9e0c-2c7a18303cd1,5ffbef3b-340e-4cb2-b758-e7d0d16b70c8,49
2020-06-10,First new bill in 11.43 months from vendor 6152f258-554d-4e4c-be58-1b47080b3e33,1,1,829fe906-56e2-481e-9bb0-b27e75f16f15,6152f258-554d-4e4c-be58-1b47080b3e33,50
2020-04-10,First new bill in 9.83 months from vendor 638e18e6-906b-4dc2-af56-7b12107fdf70,1,1,f59be936-6ff8-4657-9d75-cb336c861e67,638e18e6-906b-4dc2-af56-7b12107fdf70,51
2020-03-26,First new bill in 8.13 months from vendor 6d09ba63-c183-41bd-bfd9-ec187989e8cb,1,1,f4d98311-c614-425d-a9cc-917f904d8fd0,6d09ba63-c183-41bd-bfd9-ec187989e8cb,52
2020-03-03,First new bill in 3.03 months from vendor 7409fa50-fde9-4939-8efe-dc73cbd1e9c7,1,1,cb557303-4f35-419d-a0e8-918a1e156fb8,7409fa50-fde9-4939-8efe-dc73cbd1e9c7,53
2020-12-02,First new bill in 4.03 months from vendor 80255121-e6ff-4d27-ab0f-967834bbd068,1,1,59dab3e6-9d48-43d4-8709-c7afee474254,80255121-e6ff-4d27-ab0f-967834bbd068,54
2020-10-31,First new bill in 3.07 months from vendor 8601c516-a301-4f29-8dad-8dc71a1881ee,1,1,021b3e22-e57b-4c0e-a8dc-e3ed898c8a8d,8601c516-a301-4f29-8dad-8dc71a1881ee,55
2020-11-07,First new bill in 3.03 months from vendor 8617bc6b-a5c1-4441-b148-bb3268a1b4e6,1,1,0bf92123-9ecd-4926-bc31-6f77a32e72e2,8617bc6b-a5c1-4441-b148-bb3268a1b4e6,56
2020-11-30,First new bill in 4.07 months from vendor 86ccadec-b5e3-4a76-89ca-062dd98bbf88,1,1,dcf8f9de-d2db-4b04-aa64-1d26172ce426,86ccadec-b5e3-4a76-89ca-062dd98bbf88,57
2020-03-30,First new bill in 4.77 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,1,1,679dcf8f-b85a-4fed-8a87-06011ee08090,89e07175-feef-43ea-a989-f96ad4d52fc5,58
2020-12-03,First new bill in 5.4 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,1,1,378f3ba8-3fc8-4e00-b0fe-33ee4fe00ef9,89e07175-feef-43ea-a989-f96ad4d52fc5,59
2020-11-13,First new bill in 4.07 months from vendor 8b841974-e08f-4259-b81c-42e9e4e52ce0,1,1,60b339d1-4543-429e-a956-bf57db148555,8b841974-e08f-4259-b81c-42e9e4e52ce0,60
2020-03-27,First new bill in 3.3 months from vendor 8db7096a-752d-433f-a263-555b035c7836,1,1,0bba62d3-3781-4b8d-9707-13494fff7fd3,8db7096a-752d-433f-a263-555b035c7836,61
2020-07-24,First new bill in 3.97 months from vendor 8db7096a-752d-433f-a263-555b035c7836,1,1,84229a05-8ad0-4453-aa02-7fc941abfd4b,8db7096a-752d-433f-a263-555b035c7836,62
2020-02-24,First new bill in 10.43 months from vendor 8f3ae183-3da9-4113-b432-e559dcba8f1c,1,1,d1a6beb8-12d4-456a-a0b4-0e7340ad504d,8f3ae183-3da9-4113-b432-e559dcba8f1c,63
2020-06-07,First new bill in 3.1 months from vendor 8f3ae183-3da9-4113-b432-e559dcba8f1c,1,1,ac37194f-7d1f-4ed9-92cf-973dc0321d3f,8f3ae183-3da9-4113-b432-e559dcba8f1c,64
2020-12-01,First new bill in 3.03 months from vendor 906a0cbb-b05a-4501-beff-40a1d3bd6399,1,1,7a07617b-a1c1-455f-b2f5-96bea90c9247,906a0cbb-b05a-4501-beff-40a1d3bd6399,65
2020-06-09,First new bill in 5.37 months from vendor 986d39ef-7309-4465-9ac8-fcef6f3ee5f6,1,1,44b99ba9-1161-46c2-96e5-476c48617f91,986d39ef-7309-4465-9ac8-fcef6f3ee5f6,66
2019-12-23,First new bill in 5.8 months from vendor 9902c4c2-0232-461f-95be-4cca2af048e9,1,1,82628348-faac-4c6b-91c5-eea98a9bd7fb,9902c4c2-0232-461f-95be-4cca2af048e9,67
2020-08-31,First new bill in 5.1 months from vendor 99a9882c-a221-44f7-8ebe-70bcbd44f037,1,1,30b88037-7ac1-40b7-a39b-8649abb8c4e9,99a9882c-a221-44f7-8ebe-70bcbd44f037,68
2020-02-12,First new bill in 8.2 months from vendor 9be41a38-e810-48f6-8149-d9b19dee73e8,1,1,cc5cb581-1228-49c7-97a9-1af89a8423dc,9be41a38-e810-48f6-8149-d9b19dee73e8,69
2019-08-14,First new bill in 3.23 months from vendor 9fe35cea-622b-444f-8af1-a6f487fd4eb2,1,1,1f00af61-b29d-4b9e-b765-90e4cb0d2c62,9fe35cea-622b-444f-8af1-a6f487fd4eb2,70
2020-11-12,First new bill in 3.1 months from vendor a1605dc3-90cb-403c-ab7e-14155e817cae,1,1,40162583-9622-4b9e-9e3d-2931104abd2a,a1605dc3-90cb-403c-ab7e-14155e817cae,71
2020-04-24,First new bill in 4.87 months from vendor a5883740-aea5-4716-8f07-7b4765cb2385,1,1,08b56076-7807-4da7-9a74-d26da2b081ce,a5883740-aea5-4716-8f07-7b4765cb2385,72
2020-12-04,First new bill in 5.13 months from vendor a6faacb8-8bc2-4f68-9649-2e1977dbf067,1,1,d4688382-16e5-4e01-a1cc-cde4323ba535,a6faacb8-8bc2-4f68-9649-2e1977dbf067,73
2019-10-04,First new bill in 4.23 months from vendor a77018fe-ac76-45bd-a716-fe514eccff4c,1,1,516813f6-610c-4d79-9f65-2a37068310dd,a77018fe-ac76-45bd-a716-fe514eccff4c,74
2020-12-02,First new bill in 14.17 months from vendor a77018fe-ac76-45bd-a716-fe514eccff4c,1,1,60f5c828-dec2-4315-8f19-9ab8904c99c3,a77018fe-ac76-45bd-a716-fe514eccff4c,75
2019-07-21,First new bill in 5.27 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,1,1,bee78f9f-2da0-4435-b84f-74720824a734,a96c5d60-7df0-4360-b714-02ef221e4bd0,76
2019-12-01,First new bill in 3.03 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,1,1,90d81ad1-aa68-4178-b85b-fa49bf1ce7df,a96c5d60-7df0-4360-b714-02ef221e4bd0,77
2020-05-20,First new bill in 3.2 months from vendor a9a72190-f998-451d-bf0a-d37bdc4cf91d,1,1,e416a5b4-1f41-4ba7-ad2e-7066214d3d0e,a9a72190-f998-451d-bf0a-d37bdc4cf91d,78
2020-11-17,First new bill in 3.2 months from vendor a9a72190-f998-451d-bf0a-d37bdc4cf91d,1,1,54f5ec25-6b03-4740-ac85-2b212fed349a,a9a72190-f998-451d-bf0a-d37bdc4cf91d,79
2019-11-04,First new bill in 8.9 months from vendor aa2f1ec0-b189-4009-a928-edfba356a3ea,1,1,a8fbd009-dae7-4eda-9bbe-4e2f4c2660cb,aa2f1ec0-b189-4009-a928-edfba356a3ea,80
2020-04-30,First new bill in 3.3 months from vendor aaf161af-1b36-4c8a-a622-6ba062853874,1,1,fd3222d0-3dd9-488f-96b0-ae9baae3a32d,aaf161af-1b36-4c8a-a622-6ba062853874,81
2020-11-13,First new bill in 4.07 months from vendor acd10343-3667-4457-9d2f-3719b80379fa,1,1,1b516a53-7945-437f-868b-7ee631b66f4c,acd10343-3667-4457-9d2f-3719b80379fa,82
2020-02-25,First new bill in 7.0 months from vendor aee7d766-492f-42cb-b5c0-44744c2d8592,1,1,1f5f58fb-e058-4e0e-8947-213477a717f9,aee7d766-492f-42cb-b5c0-44744c2d8592,83
2020-09-21,First new bill in 6.67 months from vendor aee7d766-492f-42cb-b5c0-44744c2d8592,1,1,da524b7e-4d08-402f-b7cc-5ec435fe652f,aee7d766-492f-42cb-b5c0-44744c2d8592,84
2019-12-31,First new bill in 5.1 months from vendor af77b10e-791e-4b43-a1eb-116e3e4bc4ec,1,1,7e44ac09-474c-41ec-a971-50d4a7517033,af77b10e-791e-4b43-a1eb-116e3e4bc4ec,85
2020-11-13,First new bill in 3.97 months from vendor b21a0540-aaff-4d8d-ad8e-4430809fe0ff,1,1,cd44eb6d-d84d-4bb1-9ff9-0e56d14e4f01,b21a0540-aaff-4d8d-ad8e-4430809fe0ff,86
2020-12-08,First new bill in 16.93 months from vendor b46d7ca6-ca5f-44ce-afc8-d492f69c7e32,1,1,b6cf528c-a436-4735-b5ac-b687ed107f2c,b46d7ca6-ca5f-44ce-afc8-d492f69c7e32,87
2020-03-01,First new bill in 7.1 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,1,1,5d54a4bb-1b21-4ae8-bbe4-48902789f042,b93ecf73-001d-4f4e-a51d-8be42d9f6566,88
2020-12-01,First new bill in 3.03 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,1,1,0fa4a2b0-91eb-4127-9330-30eadf5a2c36,b93ecf73-001d-4f4e-a51d-8be42d9f6566,89
2019-07-01,First new bill in 3.03 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,1,1,97413a14-32ea-46cd-bb57-0ce495d0fe9e,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,90
2019-10-01,First new bill in 3.07 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,1,1,755b9528-4baa-42be-a6fb-6230b80a8c6f,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,91
2020-06-04,First new bill in 8.23 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,1,1,410a5f09-65f2-4ea1-b281-5853461f6221,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,92
2020-11-01,First new bill in 4.1 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,1,1,8cb5e24c-2ebd-489b-a2d9-a36caee0fb52,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,93
2020-01-20,First new bill in 4.6 months from vendor c753ab1a-cd7b-4968-9a25-0f0471b0c882,1,1,e27451bb-b2eb-45e1-9b96-83c2f5399bcf,c753ab1a-cd7b-4968-9a25-0f0471b0c882,94
2019-12-31,First new bill in 12.17 months from vendor c9a40bb6-00b3-470c-9700-831c1c437bfb,1,1,9f1bbf3a-17b3-4345-9d4a-e44744b0eeb8,c9a40bb6-00b3-470c-9700-831c1c437bfb,95
2020-05-29,First new bill in 8.33 months from vendor ccbbb78a-7cb7-4241-8062-03c16ed80114,1,1,8b16d573-35fb-42bb-945d-ff15c9c64645,ccbbb78a-7cb7-4241-8062-03c16ed80114,96
2020-09-01,First new bill in 11.47 months from vendor cd2685ce-75d4-4c34-9f16-c84497f553ad,1,1,e6d8bd39-5a45-4290-be7a-dbc0fd853412,cd2685ce-75d4-4c34-9f16-c84497f553ad,97
2019-12-31,First new bill in 3.07 months from vendor cf13f8f1-6ca1-4fd9-aa96-ab9446719e21,1,1,3c5467ad-42d4-4878-8605-bfec26a3ba3e,cf13f8f1-6ca1-4fd9-aa96-ab9446719e21,98
2020-07-22,First new bill in 6.8 months from vendor da721a36-1290-4312-9d76-557c19c5736e,1,1,9128256b-fa75-4f25-8b74-1a18a8c46282,da721a36-1290-4312-9d76-557c19c5736e,99
2020-11-14,First new bill in 10.2 months from vendor e2091bc3-f9d7-4647-a1db-1f648b438b74,1,1,19daf667-fa94-4fbb-ad35-f3d64b009f71,e2091bc3-f9d7-4647-a1db-1f648b438b74,100
2019-06-06,First new bill in 3.27 months from vendor ecb100ed-3d01-4251-b872-b8ea8b3b05f2,1,1,86cd5e3c-babb-469f-8201-de2db3a83576,ecb100ed-3d01-4251-b872-b8ea8b3b05f2,101
2020-08-04,First new bill in 14.17 months from vendor ecb100ed-3d01-4251-b872-b8ea8b3b05f2,1,1,4c9f59bc-bcfa-48d6-8e62-57afaa2fe1a9,ecb100ed-3d01-4251-b872-b8ea8b3b05f2,102
2020-07-31,First new bill in 7.1 months from vendor f07a65f7-cc13-4f24-8fd4-7f28ea394c36,1,1,6d4738b5-0b1f-43aa-bcc3-3f8dbcb3b26f,f07a65f7-cc13-4f24-8fd4-7f28ea394c36,103
2020-05-31,First new bill in 5.07 months from vendor f51bef62-eaee-4469-a595-f5617240ffd7,1,1,29a4fcb6-c841-4719-b3b5-82a99c4bed05,f51bef62-eaee-4469-a595-f5617240ffd7,104
2020-08-10,First new bill in 4.8 months from vendor f565cf0f-7421-4987-91a2-d3c43210facc,1,1,f8faebd3-ec46-4ff9-901d-a8138ae7c697,f565cf0f-7421-4987-91a2-d3c43210facc,105
2020-07-17,First new bill in 6.13 months from vendor f63517f0-5734-4fec-a0b9-b31b5f5a1dfa,1,1,c78951d3-fdfb-4891-b20b-409c889d0924,f63517f0-5734-4fec-a0b9-b31b5f5a1dfa,106
2020-11-16,First new bill in 3.87 months from vendor f84005d8-f811-40f6-95be-00d95f9d693c,1,1,a2821a2c-11b7-49d9-8be5-dd48db5aeb7f,f84005d8-f811-40f6-95be-00d95f9d693c,107
2020-07-22,First new bill in 10.93 months from vendor fa55b0fc-3094-4fe0-8401-db844e15c7a4,1,1,93579af8-4dfb-4e16-8e2f-bbfe3c4c9a3a,fa55b0fc-3094-4fe0-8401-db844e15c7a4,108
2020-12-01,First new bill in 4.07 months from vendor fd47eb0b-19d4-4041-a1fb-dd0b113dacbb,1,1,361326af-f38f-46a0-a256-4eec16dc6e5f,fd47eb0b-19d4-4041-a1fb-dd0b113dacbb,109
2020-04-01,Line items from vendor e7f597e5-0d7b-4192-a7d8-60d0b3b4115e in this invoice cover future periods (through 2021-04-30),2,1,59c0e792-673b-4bb7-84c3-722ed88dd3cb,e7f597e5-0d7b-4192-a7d8-60d0b3b4115e,110
2020-07-14,Line items from vendor c2718d64-1501-499a-81c0-31c84c551293 in this invoice cover future periods (through 2021-06-29),2,1,4bd68fa7-af7f-48be-817e-36a88247a2e2,c2718d64-1501-499a-81c0-31c84c551293,111
2020-03-01,Line items from vendor 089685a6-ecec-44ab-bfdf-b2ccb5182382 in this invoice cover future periods (through 2021-02-28),2,1,0bd94246-734f-48ca-be50-2c7f0f8d262b,089685a6-ecec-44ab-bfdf-b2ccb5182382,112
2020-10-15,Line items from vendor 87e2f356-83e8-46d5-abc0-8cf3ed21274c in this invoice cover future periods (through 2021-10-15),2,1,bbee96f8-1932-48c8-9271-9ef93a791e7a,87e2f356-83e8-46d5-abc0-8cf3ed21274c,113
2019-10-03,Line items from vendor 5563cff8-b050-45e9-89d3-eb079dfeb12a in this invoice cover future periods (through 2020-09-30),2,1,8cd99b38-07df-45d6-a448-5fd6b71715d1,5563cff8-b050-45e9-89d3-eb079dfeb12a,114
2020-01-13,Line items from vendor e2091bc3-f9d7-4647-a1db-1f648b438b74 in this invoice cover future periods (through 2021-01-12),2,1,404b5a7d-c274-40a6-b898-4098a141efb7,e2091bc3-f9d7-4647-a1db-1f648b438b74,115
2019-11-08,Line items from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5 in this invoice cover future periods (through 2020-03-28),2,1,452c335f-7874-47ba-9782-52d0f35dae9f,89e07175-feef-43ea-a989-f96ad4d52fc5,116
2020-06-24,Line items from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5 in this invoice cover future periods (through 2021-03-28),2,1,61ca7da2-ba4d-4ff5-84a2-c80fb4318ffa,89e07175-feef-43ea-a989-f96ad4d52fc5,117
2020-08-01,Line items from vendor 27184514-17c5-466d-9f68-e02253695bfa in this invoice cover future periods (through 2020-10-31),2,1,da462169-1a02-431b-af9c-aa4696aa12a2,27184514-17c5-466d-9f68-e02253695bfa,118
2020-04-30,Line items from vendor 3868ba1e-df06-4cdf-8445-3ff788ef6085 in this invoice cover future periods (through 2020-08-19),2,1,cf33c145-9170-497e-82d4-2a55476f8d46,3868ba1e-df06-4cdf-8445-3ff788ef6085,119
2020-07-06,Line items from vendor befc5322-7356-440f-8c1a-428cd05ee0e1 in this invoice cover future periods (through 2021-01-05),2,1,71c793f8-f251-4e5b-ac88-4bc6c94042be,befc5322-7356-440f-8c1a-428cd05ee0e1,120
2020-11-03,Line items from vendor 5c178016-5623-467f-9129-5dc77ef65d2a in this invoice cover future periods (through 2021-11-14),2,1,8b19d4f0-c43c-4dfc-91f5-c7fd5a559d74,5c178016-5623-467f-9129-5dc77ef65d2a,121
2020-01-01,Line items from vendor 8e311a16-8be6-4f76-814e-7c28e7edb50b in this invoice cover future periods (through 2021-01-01),2,1,7f61b80c-73b8-4f01-9597-1d3807157447,8e311a16-8be6-4f76-814e-7c28e7edb50b,122
2020-01-24,Line items from vendor 1e71abd5-41e3-488d-bb1c-9e48f3790846 in this invoice cover future periods (through 2020-07-24),2,1,8aee1c4c-5297-455c-8424-a1dcb50f5966,1e71abd5-41e3-488d-bb1c-9e48f3790846,123
2020-07-14,Line items from vendor dc885256-e806-4a7a-bd68-37b1eed72643 in this invoice cover future periods (through 2021-07-15),2,1,9355f8d1-c32f-47d9-8ae6-5b0d54252eb9,dc885256-e806-4a7a-bd68-37b1eed72643,124
